filename,prompt
0000051_0.png,"A night enamel badge featuring mountains under a starlit sky, in gold and black."
0000051_1.png,"A vintage enamel badge with aged colors and retro texture, with white background."
0000051_2.png,"A fancy enamel badge full of intricate details and vibrant colors, with white background."
0000051_3.png,"A stylish enamel pin with modern details and smooth contours, with white background."
0000051_0.png,"An emotional enamel badge with subtle tones and soft illustration style, with white background."
0000051_1.png,"A vintage enamel badge with aged colors and retro texture, with white background."
0000051_0.png,"An emotional enamel badge with subtle tones and soft illustration style, with white background."
0000051_1.png,"A vintage enamel badge with aged colors and retro texture, with white background."
0000051_2.png,"A fancy enamel badge full of intricate details and vibrant colors, with white background."
0000051_3.png,"A stylish enamel pin with modern details and smooth contours, with white background."
0000051_4.png,"A cheerful enamel pin that radiates fun and friendliness, with white background."
0000051_5.png,"A bold enamel badge with strong color contrast and sharp outlines, with white background."
0000051_6.png,"A well-organized enamel badge with symmetry and balanced elements, with white background."
0000051_7.png,"A simple enamel pin with minimalistic geometry and few color accents, with white background."
0000051_8.png,"A bright enamel badge with cheerful tones and open layout, with white background."
0000051_9.png,"A dreamy enamel pin with surreal gradients and floating-like visuals, with white background."
0000051_10.png,"A cute enamel badge with soft lines and a playful tone, with white background."
0000051_11.png,"A cozy enamel badge with fluffy visuals and comforting palette, with white background."
0000051_12.png,"A unique enamel badge with unexpected design and personal charm, with white background."
0000051_13.png,"An intuitive enamel pin with clear visuals and easily readable composition, with white background."
0000051_14.png,"An enamel pin with animated style and expressive motion lines, with white background."
0000051_15.png,"A warm and comforting enamel pin with soft color tones, with white background."
0000051_16.png,"A dark enamel pin with moody tones and rich depth, with white background."
0000051_17.png,"An aristocratic enamel pin with regal ornament and classic details, with white background."
0000051_18.png,"A clean and minimal enamel badge design, elegant and well-balanced, with white background."
0000051_19.png,"A childlike enamel badge with bright pastels and doodle-style shapes, with white background."
0000056_0.png,"A cute enamel badge of a smiling whale shark with a dotted blue body and gold accents. The design is clean, pastel-toned, and outlined in white and gold. Style is kawaii, bold, and cheerful, with white background."
0000056_1.png,"A soft enamel badge of a round sunfish with gentle pastel blue fins and small gold star decorations. The shape is simple and adorable, evoking a warm and childlike feel. With white background."
0000056_2.png,"A playful enamel badge of a white stingray with blushing cheeks and blue-tipped wings. It has a pop cartoon style with a happy, animated expression. The look is bright, friendly, and minimalist, with white background."
0000056_3.png,"A cozy enamel badge of a gentle gray whale with beige spots and a tiny fin. The tone is soft and comforting, with a balanced gold outline. The style feels calm, dreamy, and rounded, with white background."
0000054_0.png,"A minimal enamel badge featuring two stylized black hands forming a heart shape in the center. The design is outlined in elegant gold and set against a vivid red background. The badge includes the phrase “I’VE DONATED” in gold lettering, symbolizing generosity and solidarity. Accent fingers are painted in pastel blue, pink, yellow, and red, giving a playful yet meaningful touch. The overall style is bold, modern, and high-contrast."
0000055_0.png,"A trendy enamel badge with a bright yellow van parked before stylized green mountains. The phrase “Life is Vantastic” is written below, evoking wanderlust and adventure. The style is modern flat, with bold shapes and smooth shadows, on a white background."
0000055_1.png,"A stylish enamel badge of a hot coffee cup placed on a wood stump, set in a clean arched frame. The phrase “More Coffee Please” is inscribed above. The colors are soft and inviting, with warm tones and playful typography. Flat and minimalist with a white background."
0000055_2.png,"A kawaii enamel badge featuring a smiling sprout in a window-shaped frame. The design uses soothing greens and blues to represent growth, nature, and positivity. Soft gradients and thick outlines give a cozy, app-like feel, with white background."
0000055_3.png,"A motivational enamel badge shaped like a purple cloud with a yellow lightning bolt. The words “this too shall pass” are written in clean sans-serif. The overall tone is encouraging and hopeful, with trendy neon contrast and soft shadowing on a white background."
0000055_4.png,"A cute enamel badge of a chubby cartoon bee with rainbow-colored stripes. Below it reads “Close your rings,” in reference to fitness tracking. The badge is bold, energetic, and playful with a tech-inspired pastel palette. White background."
0000055_5.png,"A surreal enamel badge of a melting clock inspired by Salvador Dalí. The clock floats against a warm-toned minimalist background. The badge feels abstract yet iconic, blending humor and time-related symbolism in a sleek, trendy form. With white background."
0000055_6.png,"A motivational enamel badge with “42K” in bold white type over a vibrant arc design. It celebrates running achievement with athletic energy. The design is flat, bold, and symmetrical, reflecting high-tech sport interface style. With white background."
0000055_7.png,"A soft and symbolic enamel badge of two hands cradling a single blue water droplet. The design evokes care, sustainability, and compassion. The soft teal and violet tones make it calm and comforting. Minimalist and expressive, with white background."
0000052_0.png,"A symbolic enamel badge of a black crow silhouetted against an orange circle, with a dark diamond-shaped background. Gold-lined stars surround the figure, and the bottom ribbon reads “KARASUNO.” The style is sharp, powerful, and clean, evoking legacy and strength. With white background."
0000052_1.png,"A sleek enamel badge with a red cat silhouette sitting under a golden moon, against a deep black and red background. Surrounded by tiny golden stars and the text “NEKOMA” on a ribbon below. The badge conveys mystery, elegance, and agility. With white background."
0000052_2.png,"A minimal enamel badge featuring stylized olive branches in teal and gold, inside a white and turquoise diamond. Gold stars dot the background, and the ribbon below reads “AOBAJOHSAI.” The overall mood is fresh, balanced, and noble. With white background."
0000052_3.png,"A majestic enamel badge of a white eagle mid-flight, in front of a golden sun on a pink and red background. The wings are outstretched in power, with gold accents and “SHIRATORIZAWA” text below. The tone is commanding, regal, and dynamic. With white background."
0000052_4.png,"A powerful enamel badge showing a howling white wolf under a golden moon. The dark backdrop features gold stars, and “INARIZAKI” is written on the ribbon. It’s bold, primal, and dramatic with sharp symmetry and white background."
0000052_5.png,"A classic enamel badge with a red-green volleyball icon at the center, surrounded by gold stars and a white diamond frame. The ribbon below says “Haikyu!!” in gold text. The style is bright, energetic, and universally sporty. With white background."
0000052_6.png,"An elegant enamel badge of a gray owl perched under a crescent moon, with a navy background filled with golden stars. “FUKURODANI” is inscribed below. The style is calm, wise, and traditional, outlined in gold. With white background."
0000052_7.png,"A mechanical-style enamel badge showing three golden gears on a dark teal background with star details. The emblem is framed in gold and the ribbon below reads “DATEKO.” The badge feels engineered, industrial, and precise. With white background."
0000053_0.png,"A round enamel badge featuring Howl from “Howl’s Moving Castle” in soft blonde and red colors, with a vintage blue sunburst background. The border reads “HOWL’S MOVING CASTLE” with gold and cream highlights. The overall feel is magical, nostalgic, and delicate, with smooth color balance and clean outlines. Style is cinematic and dreamlike, with white background."
0000053_1.png,"A round enamel badge showing Kiki in profile with her red ribbon and cat Jiji. The design uses pastel sky blue and coral red, with retro-style serif text reading “KIKI’S DELIVERY SERVICE.” The mood is warm, whimsical, and heartfelt, blending softness with bold vintage lettering. With white background."
0000053_2.png,"A playful enamel badge featuring No-Face at the center, surrounded by spirits and characters from “Spirited Away.” The badge uses saturated purple, yellow, orange, and navy to create a vibrant yet balanced palette. The tone is fantastical, energetic, and distinctly Ghibli, with layered iconography and bold type. With white background."
0000053_3.png,"A round enamel badge showing a boy and girl riding a bicycle, with subtle outlines and pastel pink, cream, and orange tones. The badge reads “WHISPER OF THE HEART” and “1995” in elegant script. The style is nostalgic, romantic, and gently animated, with a sunset gradient feel. With white background."
